Month,SO_nitrate,SO_ammona,SO_phyt,SO_detritus,D_intrate,D_ammonia,D_phyt,D_detritus,SI_nitrate,SI_ammonia,SI_phyt,SI_detritus,RIV_nitrate,RIV_ammonia,RIV_detritus,SO_ATM_nitrate_flux,SO_ATM_ammonia_flux,SI_ATM_nitrate_flux,SI_ATM_ammonia_flux,SI_other_nitrate_flux,SI_other_ammonia_flux
1,7.906737475,0.636945671,0.058709009,1.356825613,6.733604205,0.716384914,0.052663435,1.37225506,0,0,0,0,139.4198848,71.31201628,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
2,7.236905209,0.617812223,0.086229294,1.083202056,7.013345619,0.69646408,0.07578158,1.116216715,0,0,0,0,148.4637009,75.93784686,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
3,7.525197523,0.608206118,0.099672149,0.84926454,7.60548755,0.686537986,0.078573463,0.894447311,0,0,0,0,149.6106517,76.52450183,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
4,9.162449705,0.678319441,0.889735802,0.889267029,8.738431845,0.765013469,0.52305744,0.858386026,0,0,0,0,153.6316626,78.58121271,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
5,7.181614295,1.157127197,2.056156899,3.613639677,8.711942816,1.361267355,1.012549774,2.279454388,0,0,0,0,172.0682615,88.01136714,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
6,4.009520047,1.333953852,0.483442527,5.243673777,6.111994023,1.493799751,0.174548454,3.572090008,0,0,0,0,147.2000489,75.2915002,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
7,4.22474426,1.235245807,0.445632783,5.46147233,5.790887091,1.434462269,0.153421864,4.364321887,0,0,0,0,151.0704199,77.27116013,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
8,3.627530793,1.183310898,0.55076219,5.024728467,5.97399139,1.373626839,0.232332467,4.717393841,0,0,0,0,153.7619866,78.64787231,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
9,5.263309513,1.08365158,0.611757999,4.116819296,7.366364707,1.21812904,0.396806927,4.167292225,0,0,0,0,153.0615047,78.28958208,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
10,4.438724179,0.921016177,0.540715949,3.189529626,4.608827563,1.0285349,0.470094051,3.203953582,0,0,0,0,130.6367392,66.81951637,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
11,7.865664831,0.797320985,0.446440876,2.405718224,6.877838353,0.889333128,0.401113829,2.422934133,0,0,0,0,201.8752969,103.2573975,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
12,8.113504469,0.716825905,0.012090773,1.804582317,7.072962637,0.801089116,0.012738852,1.820351956,0,0,0,0,173.3150218,88.64907384,0,0.051413414,0.045058408,0.051413414,0.045058408,0,0
