Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,Upwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight
1,1.878602707,7.828045407,7.620399454,7.775163543,7.877847201,7.352023451,0.000295391,-2.230373407,1,0,0.024753821,0.029575962,0,0,0.024733135,0.006888166,0.017193774,0,0.113143059,0.153703086,0.279913155,0.79272367
2,6.868140563,7.679861109,7.581401917,6.82732396,6.90983412,6.371699336,0.000248515,-2.398926629,1,0,0.02133424,0.031482378,0,0,0.02359889,0.007325744,0.018286028,0,0.130167906,0.1793165,0.384562983,0.575976545
3,15.51034084,7.503051507,7.527357416,6.607283696,6.570348315,6.131660754,0.000165968,-2.527206316,1,0,0.022597624,0.034002944,0,0,0.028961706,0.006656205,0.01661477,0,0.114800269,0.150997422,0.330480271,0.549591653
4,25.48952236,7.323755501,7.527803029,7.386090271,7.066113943,6.815000825,0.000139878,-2.729551462,0.884163508,0,0.021198031,0.034433469,0,0,0.036835872,0.006362589,0.015881865,0,0.121773349,0.160863575,0.349727706,0.43839555
5,34.13175929,7.228652298,7.445062048,8.852646782,8.09690481,8.033659721,9.48E-05,-2.798705294,0.607671289,0,0.022459993,0.035338394,0,0,0.046888761,0.006043595,0.015085614,0,0.138739485,0.171639128,0.350602244,0.443561897
6,39.12136064,7.128251696,7.235088736,10.51719329,9.31165429,9.149263731,6.86E-05,-2.83470839,0.446021763,0,0.023154774,0.035797894,0,0,0.04817205,0.005770276,0.014403372,0,0.116055196,0.140631982,0.325648685,0.351033893
7,39.12136064,6.926803054,7.096898758,12.21188214,10.60476546,10.58398535,6.35E-05,-2.837323217,0.411451011,0,0.0269498,0.035061748,0,0,0.05078203,0.006542457,0.016330839,0,0.10445083,0.139599331,0.292557979,0.359106189
8,34.13175929,6.856289205,7.118156035,13.61821962,11.93736388,11.91909206,0.000115816,-2.82583244,0.476442673,0,0.026095593,0.035591246,0,0,0.052209816,0.006082999,0.015183971,0,0.098297253,0.139336297,0.289602197,0.414171405
9,25.48952236,7.06274402,7.095594288,13.96756625,13.07521966,12.95767325,0.00015567,-2.654020322,0.639261454,0,0.022240399,0.031181637,0,0,0.042144229,0.007660269,0.020565638,0,0.123857459,0.171623265,0.343732198,0.534745172
10,15.51034084,7.292264245,7.20102584,13.00776037,13.00373222,12.52118872,0.00027017,-2.287247979,0.922987598,0,0.02286539,0.027338823,0,0,0.025511729,0.007194471,0.017958353,0,0.125613891,0.175889966,0.35535656,0.630708546
11,6.868140563,7.602787012,7.348818106,11.40179386,11.52374685,11.00910305,0.000253668,-2.133053408,1,0,0.026799098,0.028723558,0,0,0.022880001,0.007235312,0.018060297,0,0.128847257,0.167669362,0.338795876,0.747148345
12,1.878602707,7.717891611,7.543587393,9.332665928,9.480999091,8.962979077,0.000274105,-2.16550718,1,0,0.025026146,0.027037179,0,0,0.024263708,0.00924219,0.025865713,0,0.14201947,0.199800716,0.350988617,0.757166229
