Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3
Pelagic_Trawl+Seine,PTS,0,0.178115948,0.04881154,0,0,0.40157509,0.33988839,0.031609031
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,0,0.166635249,0.035259663,0,0,0.559794095,0.223363068,0.014947925
Longline_mackerel,LLm,0,0.388888889,0.055555556,0,0,0.444444444,0.111111111,0
Beam_Trawl_BT1+BT2,BTf,0,0.026174754,0.011217752,0,0,0.255341653,0.516560337,0.190705505
Demersal_Seine,DS,0,0,0,0,0,0.242424242,0.545454545,0.212121212
Demersal_Otter_Trawl_TR1,OT,0,0.022484076,0.005885872,0,0,0.385793642,0.519264376,0.066572034
Gill_Nets+Longline_demersal,LLd,0,0.069265651,0.029685279,0,0,0.305785028,0.449226899,0.146037142
Beam_Trawl_shrimp,BTs,0,0,1,0,0,0,0,0
Nephrops_Trawl_TR2,NT,0,0.1705242,0,0,0,0.8294758,0,0
Creels,CR,0,0.20468068,0.084147519,0,0,0.364055928,0.30559728,0.041518593
Mollusc_Dredge,MD,0,0.112656613,0.034150555,0,0,0.249262486,0.357130183,0.246800164
KelpHarvester,KH,1,0,0,0,0,0,0,0
