Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Pelagic_Trawl+Seine,PTS,525.7550374,0,40.6114852,0,0.00E+00,0,0.175037,0,0.35140166,0
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,0.888033023,0.003259411,3.95E-05,0,0.871809862,0,0,0,0,0
Longline_mackerel,LLm,0,0.002138377,1.196527894,0,0.058845385,0,0.085223,0,0,0
Beam_Trawl_BT1+BT2,BTf,0,9.228531662,0,0.01283219,0.06009666,0,0,0,0,0
Demersal_Seine,DS,0,94.16551885,0,0,0,0,0,0,0,0
Demersal_Otter_Trawl_TR1,OT,0.002741852,6.840846533,0.007828021,0.011095434,0.26184944,0,0,0,0,0
Gill_Nets+Longline_demersal,LLd,0,8.933660628,0.446744262,2.49E-05,0.027423435,0,0.010659,2.059146,1.812262,0
Beam_Trawl_shrimp,BTs,0,0,0,0,0,0,0,0,0,0
Nephrops_Trawl_TR2,NT,0.001417006,0.723628684,0.000125015,0.000166093,2.70693939,0,0,0,0,0
Creels,CR,0.00E+00,0.000121274,0.005282146,0.003431442,0.723948465,0,0,0,0.0326668,0
Mollusc_Dredge,MD,0,0.001796509,4.88E-05,7.004798284,0.009645835,0,0,0,0,0
KelpHarvester,KH,0,0,0,0,0,0,0,0,0,1
