"Value","Description"
1.64747915585495e-05,"water_column_detritus_mineralisation_rate"
1.19077751166707e-07,"upper_layer_water_column_nitrification_rate"
2.33416078587328e-09,"upper_layer_water_column_denitrification_rate"
0.030265002253357,"lower_layer_water_column_nitrification_rate"
4.71331332212785e-07,"lower_layer_water_column_denitrification_rate"
0.498181848931115,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.4"
0.000163582175738025,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0270852769630229,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0147856840594432,"sediment_detritus_mineralisation_rate"
-1.57314880495047e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.25462689674984e-05,"sediment_detritus_nitrification_rate"
-2.64940351667977e-06,"grain_size_sensitivity_for_sediment_detritus_nitrification_rate"
0.521097911878811,"sediment_detritus_denitrification_rate"
1.55436153764566e-07,"grain_size_sensitivity_for_sediment_detritus_denitrification_rate"
0.0184667262873423,"conversion_rate_of_discards_to_corpses"
0.211988786134207,"conversion_rate_of_corpses_to_sediment_detritus"
0.0274573789772125,"conversion_rate_of_kelp_debris_to_detritus"
0.100669378132977,"detritus_sinking_rate_in_the_upper_layers"
3.5848861782077e-06,"detritus_sinking_rate_in_the_lower_layer"
4.46712813774509e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00153912624568315,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.07111044888332,"fitting_parameter_for_undersize_demersal_fish_function"
