"Value","Description"
1.67700015538626e-05,"water_column_detritus_mineralisation_rate"
1.1865555664443e-07,"upper_layer_water_column_nitrification_rate"
2.37906456061634e-09,"upper_layer_water_column_denitrification_rate"
0.0305448151154042,"lower_layer_water_column_nitrification_rate"
4.87637009716859e-07,"lower_layer_water_column_denitrification_rate"
0.496767590924933,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.4"
0.000162408926057049,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0261363831288941,"proportion_of_refractory_detritus_digestible_by_benthos"
0.014901700421218,"sediment_detritus_mineralisation_rate"
-1.59786708443325e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.28809007764146e-05,"sediment_detritus_nitrification_rate"
-2.64497309757543e-06,"grain_size_sensitivity_for_sediment_detritus_nitrification_rate"
0.527567627206976,"sediment_detritus_denitrification_rate"
1.5372927075601e-07,"grain_size_sensitivity_for_sediment_detritus_denitrification_rate"
0.0183600763842733,"conversion_rate_of_discards_to_corpses"
0.222689077395984,"conversion_rate_of_corpses_to_sediment_detritus"
0.02675116183131,"conversion_rate_of_kelp_debris_to_detritus"
0.0981757800397286,"detritus_sinking_rate_in_the_upper_layers"
3.58703602532296e-06,"detritus_sinking_rate_in_the_lower_layer"
4.41290223840423e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00148425898682131,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.07265827629889,"fitting_parameter_for_undersize_demersal_fish_function"
