"kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.275186259874503,0.274526076836553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.724813740125497,0.725473923163447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000690408948368742,NA,NA,NA,NA,NA,NA,0.976268833854983,0.313265014916011,0.295267805323281,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477128802198459,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00676988114767586,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00923268108108984,NA,NA,NA,0.422477554177663,0.0999996086431901,0.0573782133796601,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0977473511975977,NA,NA,NA,NA,0.220001311683059,0.0645472237223162,0.118802919078355
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0123746565308659,NA,NA,NA
"phyt",NA,NA,0.906446560808291,NA,NA,NA,NA,NA,NA,0.0237311661450176,0.686734985083989,0.22760339247826,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.656064481950468,0.148859183354557,0.94623184765274,0.362049947867718,0.362270720449088,NA,NA,NA,NA,NA,NA,NA,0.0101056268073978
"carnzoo",NA,NA,NA,NA,NA,NA,0.153492493257576,0.0139357812677423,0.076154096869416,NA,NA,NA,NA,0.0999999020926888,0,0.0196774556154237
"fishplar",NA,NA,NA,0.0176354301258023,NA,NA,0.127815031176993,0.0497093614409112,0.115886087737888,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0412974491900544,NA,NA,0.177726908790687,0.0578500357482657,0.111581890970188,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.0553520929381006,NA,NA,NA,NA,0.200001484678184,0.184376867192555,0.291975611016197
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0177767038355275,NA,NA,NA,NA,0.180000748333425,0.0523434877863607,0.392464079704453
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00558237638702597,NA,NA,NA,NA,0.199996944569453,0.641354207919108,0.161990787940651
"benthslar",NA,NA,0.00156296393325541,0.186365633480829,0.591853070090775,0.0439665406168107,0.047535404415778,0.291791807430103,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0913000663100847,0.0986370052528463,0.259287746554668,0.00980161173044914,0.131380214491248,0.224442293663889,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.43850416196151,NA,NA,NA,0.558377908143796,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0721825570216561,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00498351983752255
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
