"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0235916745990194,1.83473379028152e-08,0.0091886898124574,18.8952123838765,NA,2.98252604470734e-08,NA,0.0413250120346131
"phyt_s",NA,NA,2.84745043151579,4.09565682500986,NA,0.0516780383709992,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0632233236922771,NA,NA
"omnivzoo",NA,NA,2.35079960814031,3.25193401114695,NA,3.38202133057646e-05,NA,NA
"carnzoo",NA,NA,0.163547097065764,1.08439391540188,NA,0.000209500113981341,NA,0.00367994021273363
"fishplar",NA,NA,0.304339336240934,6.43201057819875,NA,4.09980715323129e-06,NA,NA
"fishdlar",NA,NA,0.230796387316198,2.03705955921045,NA,5.76821632809894e-07,NA,NA
"fishp",NA,NA,0.140780319788553,2.15575677226157,NA,1.91152735912286e-05,0.0016026322675306,0.851171226155627
"fishm",NA,NA,0.0320306272743003,2.25004049135311,NA,1.68600773812442e-06,3.54299546525877e-05,0.664031094486789
"fishd",NA,NA,0.0332224447696546,0.552387038413291,NA,3.79039536405825e-05,0.00217082703607251,0.897733932393674
"benthslar",NA,NA,0.337264503881065,1.02591870416811,NA,9.63306093739248e-06,NA,NA
"benthclar",NA,NA,1.04980748320831,2.41603817061641,NA,2.54240737233512e-07,NA,NA
"benths",NA,NA,0.88473247664199,1.84832262851008,NA,0.00037069385195509,NA,0.0307140332545292
"benthc",NA,NA,0.0292186829578862,8.89971543616808,NA,0.000399089229708346,NA,0.151938844085702
"bird",NA,NA,0.793809993638938,1.00003266750579,9415.52051088452,0.0497064301497771,0.00998149699312165,0.100677798941923
"seal",NA,NA,0.416472279163089,1.58274110160511,4056.22631249452,0.00506333412363149,0.01,0.100011504421615
"ceta",NA,NA,0.500386084754446,0.519813567010651,1281.38257754306,0.0013025213924648,0.00996591603028947,0.322690868589008
