Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
NA,NA,0,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,Clyde,2003-2013,Insufficient_data
999.32,200,1,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate,West_Scotland_included_instead,2000_2003,Heath_and_Beare_2008
600,100,1,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_kelp,General_UK,NA,Burrows_et_al_2018
220.9,100,1,Obs_OmnizooP,mMN/m2/y,Annual_mesozooplankton_gross_production,West_Scotland_included_instead,1970_1999_included _as_substitute,Heath_2005/Mackinson_and_Daskalov_2007
25.8,12,1,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,West_Scotland_included_instead,1970_1999_included _as_substitute,Heath_2005/Mackinson_and_Daskalov_2007
NA,NA,0,Obs_PFishP,mMN/m2/y,Annual_pelagic_fish_gross_production,Clyde,2003-2013,Insufficient_data
NA,NA,1,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_BensuspP,mMN/m2/y,Annual_filt/dep_benthos_gross_production,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_sealP,mMN/m2/y,Annual_net_production_of_seals,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_filt/dep_larvae,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_pelagic_fish_by_fish,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_mesozooplankton_by_fish_and_fish_larvae,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Conzoocarnz,mMN/m2/y,Annual_consumption_of_mesozooplankton_by_carn_zooplankton,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Conbenfish,mMN/m2/y,Annual_consumption_of_benthos_by_fish,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Contotal_bird,mMN/m2/y,Annual_food_consumption_by_birds,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Proppfishbird,dimensionless,Proportion_pelagic_fish_in_diet_of_birds,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Propdfishbird,dimensionless,Proportion_demersal_fish_in_diet_of_birds,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Propmfishbird,dimensionless,Proportion_migratory_fish_in_diet_of_birds,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Propdiscbird,dimensionless,Proportion_discards_in_diet_of_birds,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Contotal_seal,mMN/m2/y,Annual_food_consumption_by_seals,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Proppfishseal,dimensionless,Proportion_pelagic_fish_in_diet_of_seals,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Propdfishseal,dimensionless,Proportion_demersal_fish_in_diet_of_seals,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Propmfishseal,dimensionless,Proportion_migratory_fish_in_diet_of_seals,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Contotal_ceta,mMN/m2/y,Annual_food_consumption_by_cetaceans,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Proppfishceta,dimensionless,Proportion_pelagic_fish_in_diet_of_cetaceans,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Propdfishceta,dimensionless,Proportion_demersal_fish_in_diet_of_cetaceans,Clyde,2003-2013,Insufficient_data
NA,NA,0,Obs_Propmfishceta,dimensionless,Proportion_migratory_fish_in_diet_of_cetaceans,Clyde,2003-2013,Insufficient_data
0.138408757,0.013,1,Obs_Pland_livewt,mMN/m2/y,Annual_pelagic_fish_landings_(live_weight)_STECF,Clyde,2003-2013,Analysis of STECF data
0.03083338,0.003,1,Obs_Dland_livewt,mMN/m2/y,Annual_demersal_fish_landings_(live_weight)_STECF,Clyde,2003-2013,Analysis of STECF data
0.0091094,0.0009,1,Obs_Mland_livewt,mMN/m2/y,Annual_migratory_fish_landings_(live_weight)_STECF,Clyde,2003-2013,Analysis of STECF data
0.070939022,0.007,1,Obs_Bsland_livewt,mMN/m2/y,Annual_filt/dep_benthos_landings_(live_weight)_FAO,Clyde,2003-2013,Analysis of STECF data
0.565448147,0.06,1,Obs_Bcland_livewt,mMN/m2/y,Annual_carn/scav_benthos_landings_(live_weight)_FAO,Clyde,2003-2013,Analysis of STECF data
0.000068,0.00003,1,Obs_Zcland_livewt,mMN/m2/y,Annual_carn_zooplankton_landings_(live_weight)_FAO,Clyde_and_IrishSea,2003-2013,Analysis of STECF data
0,0,0,Obs_Kland_livewt,mMN/m2/y,Annual_kelp_landings_(live_weight),Clyde,2003-2013,No_known_harvesting
2,0.5,1,Obs_kelp_pb,/y,Annual_CARBON_gross_PB_ratio_of_kelp,General_value,NA,Brady_Campbell_et_al_1984
10,5,1,Obs_benslar_pb,/y,Annual_gross_PB_ratio_larvae_of_filt/dep_benthos,General_value,NA,Mackinson_and_Daskalov_2007
10,5,1,Obs_benclar_pb,/y,Annual_gross_PB_ratio_larvae_of_carn/scav_benthos,General_value,NA,Mackinson_and_Daskalov_2007
10,3,1,Obs_bens_pb,/y,Annual_gross_PB_ratio_benthos_filter/deposit_feeders,General_value,NA,Mackinson_and_Daskalov_2007
