Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,Upwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight
1,1.878602707,7.826037571,9.641973141,6.961446197,7.419333181,5.785941147,0.000286921,-1.857172118,1,0,0.012213557,0.025663662,0.01111029,0.005973638,0.131647307,0.381157296,0.616773612,0.567141064,0.074869246,0.09811036,0.320482266,2.175585778
2,6.868140563,7.674653611,9.560614859,6.019719984,6.658481814,4.695082262,0.000241635,-1.938875881,1,0,0.012100789,0.026528572,0.010452831,0.005746361,0.12360416,0.406161474,0.596934205,0.57288618,0.08770949,0.11809336,0.335319568,2.011307339
3,15.51034084,7.313070243,9.387245278,5.670218889,6.267126396,4.917835068,0.000232904,-2.1299211,1,0,0.010838326,0.02350283,0.009344449,0.005312425,0.116754888,0.332589203,0.506220739,0.518792688,0.073784542,0.092965211,0.280129751,1.791727847
4,25.48952236,6.773956617,8.962041862,6.187013171,6.396015181,6.690717505,0.000190641,-2.522397549,0.884163508,0,0.008740323,0.019109765,0.007143006,0.004665427,0.096075888,0.312553725,0.493204728,0.494957111,0.056849838,0.069825122,0.229317808,1.443285714
5,34.13175929,6.601770718,8.449411215,7.801160986,6.844863429,9.618620458,0.000148822,-2.940781251,0.607671289,0,0.007278842,0.016118851,0.006404561,0.004088899,0.090642239,0.322109175,0.499457734,0.510487615,0.054234911,0.071201446,0.245977725,1.205730679
6,39.12136064,7.016678338,8.281493879,10.09668879,7.40583769,12.87084814,0.00013273,-3.079433498,0.446021763,0,0.007258441,0.015876791,0.006001635,0.004250341,0.098714755,0.299277777,0.471658159,0.483537907,0.054966585,0.068413773,0.238213618,1.086602223
7,39.12136064,6.770848632,8.340679172,12.28691019,8.069351084,15.64616574,0.000118549,-3.117669086,0.411451011,0,0.007745544,0.016261259,0.006479027,0.003838593,0.109548776,0.363934365,0.552850385,0.524890871,0.076277874,0.090166525,0.263741324,0.929683735
8,34.13175929,6.480667009,8.471896958,13.79789973,8.789608553,17.17449229,0.000114749,-3.038541723,0.476442673,0,0.008103189,0.016282141,0.006815375,0.00408558,0.119701803,0.35905806,0.52368096,0.501511972,0.074889838,0.090429764,0.270002956,1.059452391
9,25.48952236,6.661854369,8.738404089,13.50744097,9.486140295,16.25571664,0.000132299,-2.623960137,0.639261454,0,0.009155197,0.019064046,0.008094047,0.004577757,0.127796435,0.380769649,0.558947495,0.524943214,0.079736059,0.098032567,0.26840102,1.393518927
10,15.51034084,6.94125906,8.98518924,11.84686376,9.85240079,13.87267093,0.000168826,-2.168272788,0.922987598,0,0.010011616,0.022394423,0.00977913,0.005372723,0.137077727,0.41698284,0.638251265,0.576894935,0.089645817,0.107513098,0.314080121,1.81124521
11,6.868140563,7.301689517,9.250313198,10.03220438,9.468544892,10.77142594,0.000206331,-1.937799985,1,0,0.010249423,0.023888686,0.009716546,0.005599797,0.134132891,0.348163859,0.554320401,0.531517306,0.075830373,0.094815806,0.285698055,1.998225607
12,1.878602707,7.604514007,9.64301831,8.417319422,8.522072777,7.874190707,0.000252182,-1.867454189,1,0,0.010498232,0.02319171,0.010209148,0.005695123,0.131321067,0.625729598,0.773238101,0.623426869,0.161048722,0.215276963,0.432322971,2.090837125
