Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Pelagic_Trawl+Seine,PTS,1932.115206,0.893476617,1077.414888,0,0.002671044,0,0.175037,0,0.35140166,0
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,1013.869135,2.121685532,38.43438328,0.000884645,0.767630355,0,0,0,0,0
Longline_mackerel,LLm,0.012189808,0.049587819,7.3811843,4.93E-05,0.025221014,0,0.085223,0,0,0
Beam_Trawl_BT1+BT2,BTf,0.001209108,80.89547724,0.161385135,0.001074415,0.389642624,0,0,0,0,0
Demersal_Seine,DS,0,10.64039678,10.94103941,0,0.015250346,5.090975489,0,0,0,0
Demersal_Otter_Trawl_TR1,OT,0.848966371,77.63191616,9.424984339,0.001409053,0.699460502,1.496856028,0,0,0,0
Gill_Nets+Longline_demersal,LLd,0.261574389,8.664900934,0.056018492,0.000892911,0.069121787,0,0.010659,0.749952,1.812262,0
Beam_Trawl_shrimp,BTs,0.247802624,5.1751622,0.0204655,9.52E-06,27.90854983,0,0,0,0,0
Nephrops_Trawl_TR2,NT,0.006521403,16.0675405,0.164695772,0.000232275,5.723924492,0.137039974,0,0,0,0
Creels,CR,0.000390294,0.020077981,0.039838919,0.001443302,1.676332703,0,0,0,0.0326668,0
Mollusc_Dredge,MD,0.123106169,0.048140893,0.007589362,5.800854733,0.005832199,0,0,0,0,0
Whaler,Wh,0,0,0,0,0,0,0,0,127.4624,0
