Value,Description
30,Offshore_Shallow_layer_thickness_(m)
50.04,Offshore_Deep_layer_thickness_(m)
24.16,Inshore_Shallow_layer_thickness_(m)
1,Bottom_bounday_layer_thickness_for_benthos_filtering_(m)_must_be_less_than_deep_and_shallow_inshore_layer_thickness
0.002981114,Area_proportion_of_inshore_rock_habitat_(sum_of_all_8_habitat_areas_must=1)
0.011012434,Area_proportion_of_inshore_sediment_habitat_1_(sum_of_all_8_habitat_areas_must=1)
0.187800855,Area_proportion_of_inshore_sediment_habitat_2_(sum_of_all_8_habitat_areas_must=1)
0.04777585,Area_proportion_of_inshore_sediment_habitat_3_(sum_of_all_8_habitat_areas_must=1)
0.005717586,Area_proportion_of_offshore_rock_habitat_(sum_of_all_8_habitat_areas_must=1)
0.266520896,Area_proportion_of_offshore_sediment_habitat_1_(sum_of_all_8_habitat_areas_must=1)
0.459513661,Area_proportion_of_offshore_sediment_habitat_2_(sum_of_all_8_habitat_areas_must=1)
0.018677605,Area_proportion_of_offshore_sediment_habitat_3_(sum_of_all_8_habitat_areas_must=1)
0.130091248,Inshore_sediment_1_median_grain_size_(mm)_(0=rock)
0.273095487,Inshore_sediment_2_median_grain_size_(mm)_(0=rock)
1.816183501,Inshore_sediment_3_median_grain_size_(mm)_(0=rock)
0.113618767,Offshore_sediment_1_median_grain_size_(mm)_(0=rock)
0.230768893,Offshore_sediment_2_median_grain_size_(mm)_(0=rock)
0.928198585,Offshore_sediment_3_median_grain_size_(mm)_(0=rock)
0.2,Reference_grain_size_for_baseline_geochemisty_rates_(mm)
-1.2271528,Parameter_1_for_relationship_between_porosity_and_grainsize_ 10^( p3+p4*(1/(1+exp(-(log10(grainsize)-p1)/p2))))
-0.2700101,Parameter_2_for_relationship_between_porosity_and_grainsize_10^( p3+p4*(1/(1+exp(-(log10(grainsize)-p1)/p2))))
-0.4364668,Parameter_3_for_relationship_between_porosity_and_grainsize_10^( p3+p4*(1/(1+exp(-(log10(grainsize)-p1)/p2))))
0.3658888,Parameter_4_for_relationship_between_porosity_and_grainsize_10^( p3+p4*(1/(1+exp(-(log10(grainsize)-p1)/p2))))
-9.21305,Parameter_1_for_relationship_between_permeability_and_grainsize_(10^p1)*(grainsize^p2)
4.615049,Parameter_2_for_relationship_between_permeability_and_grainsize_(10^p1)*(grainsize^p2)
0.65653,Parameter_1_for_relationship_between_mud%_and_grainsize_(10^p1)*(grainsize^p2)
-0.80043,Parameter_2_for_relationship_between_mud%_and_grainsize_(10^p1)*(grainsize^p2)
-1.96546,Parameter_1_for_relationship_between_TN%_and_mud%_(10^p1)*(mud%^p2)
0.58994,Parameter_2_for_relationship_between_TN%_and_mud%_(10^p1)*(mud%^p2)
1.3,Coefficient_relating_TN%_ of_INSHORE_water_sediments_at_a_given_grainsize_to_the_global_estimate
0.97,Coefficient_relating_TN%_ of_OFFSHORE_water_sediments_at_a_given_grainsize_to_the_global_estimate
0.9,Proportion_of_measured_TN_guestimated_to_be_refractory_(from_ratio_of_pigments_to_TN)
