Month,median,5centile,95centile
Jan,0.044767321,0.013874433,0.096978864
Feb,0.044869774,0.017638293,0.119787478
Mar,0.041956721,0.013602291,0.110891361
Apr,0.046160377,0.014384619,0.120695535
May,0.071674882,0.011706435,0.13889229
Jun,0.085717484,0.018772825,0.279064372
Jul,0.084871327,0.020734386,0.386633546
Aug,0.08584228,0.035895025,0.215643763
Sep,0.152266563,0.066805628,0.313532401
Oct,0.099197621,0.051704297,0.183417534
Nov,0.088559737,0.048695298,0.195747036
Dec,0.0507572,0.02171503,0.110976144
