Month,median,17centile,83centile
Jan,1.976445414,1.25192712,3.215846639
Feb,1.391057099,0.58305115,2.839629964
Mar,2.01284125,0.750695143,5.682282194
Apr,1.437524217,0.829972204,3.146013313
May,1.504219741,0.927875795,3.232139061
Jun,2.470568369,1.487467521,3.866044509
Jul,1.764538942,1.169791269,4.546619104
Aug,1.211150079,0.756612742,3.39676106
Sep,2.433372982,1.387315441,4.549935981
Oct,2.908422683,1.780249143,4.991381249
Nov,3.276310234,2.050765679,5.435768873
Dec,2.825876875,2.020506482,6.800813432
