Month,median,5centile,95centile
Jan,0.205059798,0.054415343,2.950810914
Feb,0.603824911,0.099881617,1.97299104
Mar,0.691930952,0.097743568,5.15133172
Apr,1.434119877,0.233984459,7.390810178
May,0.981961207,0.117793048,5.609219102
Jun,0.602810485,0.12308625,4.502512232
Jul,0.994759771,0.061775621,3.84572799
Aug,1.260428229,0.060619308,4.615792514
Sep,0.681108623,0.086007326,7.834890663
Oct,0.352773021,0.069916942,3.695438514
Nov,0.476151843,0.110321983,2.193851899
Dec,0.418489103,0.050869144,2.062879546
