Month,median,5centile,95centile
Jan,6.81E-05,2.70E-05,0.000171393
Feb,0.001064365,0.000280868,0.002234608
Mar,0.011063286,0.003616049,0.026103996
Apr,0.13716105,0.052807805,0.27039662
May,0.653660046,0.326221327,1.132860367
Jun,1.18546194,0.528898748,2.055312161
Jul,0.56580303,0.294140008,1.122643343
Aug,0.19979778,0.118309702,0.360808268
Sep,0.022107189,0.010659035,0.045185262
Oct,0.001120985,0.000328454,0.002366992
Nov,0.000181728,4.58E-05,0.000445537
Dec,4.63E-05,7.33E-06,0.000109437
