"filename","description"
"physical_parameters_2SURF_REV-TON-v13.csv","Physical parameters"
"2003-2013_physics_drivers_NORTH_SEA_ERSEM_bias_corrected.csv","Physics drivers"
"2003-2013_boundary_data_NORTH_SEA_ERSEM_bias_corrected_WOAtlas.csv","Chemistry drivers"
"model_endstate_export-MERP_North_Sea_2003-2013_VERSION11-12.csv","Initial state, MERP NS 2003-2013 - after HR optimistaion"
"2003-2013_biological_event_timing_parameters_e_2.csv","Event timing parameters, 2003-2013"
"fixed_parameters_for_consumer_groups-NEWYEAR18_tp_kelp_e30_2003-2013.csv","Fixed parameters, OLD AND MERP NORTH SEA 70-99, IRISH SEA"
"fixed_parameters_miscellaneous_tp_kelp_lowQ10.csv","Fixed parameters, OLD AND MERP NORTH SEA 70-99"
"fitted_parameters_preference_matrix-MERP_North_Sea_tp_kelp_VERSION11-12.csv","Fitted parameters, preference matrix, 1970-1999 MERP NORTH SEA"
"fitted_parameters_uptake_and_mortality_rates-MERP_North_Sea_tp_kelp_VERSION11-12.csv","Fitted parameters, uptake/mortality, 1970-1999 MERP NORTH SEA"
"fitted_parameters_microbiology_and_others-MERP_North_Sea_tp_kelp_VERSION11-12.csv","Fitted parameters, microbiology, 1970-1999 MERP NORTH SEA"
"fishing_fleet_parameters_REVISED_MF_DPupscaled_selSW_tp_kelp_incNOK-VER11-12-EXTdisc.csv","Fishing fleet parameters"
"fishing_activity_parameters_2003-2013_incNOK-NEW-3.csv","Fishing parameters, activity"
"fishing_power_parameters_BMbycatch_tp_kelp_incNOK-NEW-4.csv","Fishing parameters, power"
"fishing_discard_parameters_BMbycatch_tp_kelp-NEW.csv","Fishing parameters, discards"
"fishing_processing_at_sea_parameters_BMbycatch_tp_kelp.csv","Fishing parameters, gutting"
"fishing_distribution_parameters_tp_kelp_incNOK-NEW.csv","Fishing parameters, distribution"
"fishing_activity_scaling_values.csv","Gear Multipliers (values>=0) to be applied to the base-level activity rate of each gear"
"harvest_ratio_scaling_values_tp_kelp.csv","Multipliers (values>=0) to be applied to the harvest ratios derived by the fleet model with the given levels of activity"
"annual_target_data_2SURF_V15tp_kelp-2_2003-2013_NEW-3.csv","Annual target data, 2003-2013 fitting data North Sea"
"monthly_target_data.csv","Monthly target data"
