"kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.270555726590243,0.271632367248955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.729444273409757,0.728367632751045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000670947970800375,NA,NA,NA,NA,NA,NA,0.976469900028694,0.312070332671468,0.294639480610414,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478282814037259,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00670546308428352,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00958585375375058,NA,NA,NA,0.41879400488749,0.099999609,0.057378213,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0968790757378932,NA,NA,NA,NA,0.220001312,0.064547224,0.118802919
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0127154431174857,NA,NA,NA
"phyt",NA,NA,0.905683631807423,NA,NA,NA,NA,NA,NA,0.0235300999713065,0.687929667328532,0.227077705352327,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.653156398419198,0.146974568860164,0.947324869031276,0.361351913731554,0.365451133157255,NA,NA,NA,NA,NA,NA,NA,0.010105627
"carnzoo",NA,NA,NA,NA,NA,NA,0.152423266591351,0.0140527980462027,0.0752504499199291,NA,NA,NA,NA,0.099999902,0,0.019677456
"fishplar",NA,NA,NA,0.0173733984118664,NA,NA,0.128067067211304,0.0501995923498057,0.115880753356824,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0409956659274398,NA,NA,0.178481177106822,0.0579518333899386,0.110447930161096,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.106052406768256,NA,NA,NA,NA,0.200001485,0.184376867,0.291975611
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0175618661339471,NA,NA,NA,NA,0.180000748,0.052343488,0.39246408
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00553216796793755,NA,NA,NA,NA,0.199996945,0.641354208,0.161990788
"benthslar",NA,NA,0.00158130660382457,0.192155407943924,0.588261807903103,0.0430364875917669,0.0879833243982814,0.2856566722122,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0920641136179517,0.0963191292975718,0.264763623236734,0.00963864337695681,0.0916932509606876,0.226687970844598,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.390403181058166,NA,NA,NA,0.56178508891074,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0724063151422008,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00498352
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
