Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
1522,150.94,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,North_Sea,1970_1999_included _as_substitute,Skogen_and_Moll_2005
687.2,67.396,1,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate,North_Sea,2000_2003,Heath_and_Beare_2008
600,100,1,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_kelp,General_UK,NA,Burrows_et_al_2018
339.6,25.157,1,Obs_OmnizooP,mMN/m2/y,Annual_mesozooplankton_gross_production,North_Sea,1970_1999_included _as_substitute,Heath_2005/Mackinson_and_Daskalov_2007
NA,NA,0,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_PFishP,mMN/m2/y,Annual_pelagic_fish_gross_production,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_BensuspP,mMN/m2/y,Annual_filt/dep_benthos_gross_production,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_sealP,mMN/m2/y,Annual_net_production_of_seals,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_filt/dep_larvae,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_pelagic_fish_by_fish,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish,North_Sea,2003-2013,Insufficient_data_in_time_period
NA,NA,0,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_mesozooplankton_by_fish_and_fish_larvae,North_Sea,2003-2013,Insufficient_data_in_time_period
