Value,Description
0.16,parameter_a_in_Pdemersal_catch_NONQUOTA=a*exp(-b*(1stJan_demersal_biomass)))_set_to_0_and_all_demfish_treated_as_quota_limited
0.07,parameter_b_in_Pdemersal_catch_NONQUOTA=a* exp(-b*(1stJan_demersal_biomass)))
0.67,parameter_a_in_Pundersize_NONQUOTA = a*exp(-b*1stJan_demersal_biomass))
0.02,parameter_b_in_Pundersize_NONQUOTA = a*exp(-b*1stJan_demersal_biomass))
0.4,parameter_a_in_Pundersize_QUOTA = a*exp(-b*1stJan_demersal_biomass))
0.02,parameter_b_in_Pundersize_QUOTA = a*exp(-b*1stJan_demersal_biomass))
0,SWITCH_(0=use_internally_derived_density_dependent_undersize fraction/1=reduce_Dfharvestratio_to_match_no_undersize_catch)
1,SWITCH_(0=use_internally_derived_density_dependent_demersal_discard_rates/1=use_values_from_parameter_file)
0.05,Seabed_penetration_depth_of_gears_(m)
0.2,Mortality_inflicted_per_seabed_contact_trawl_pass_on_filter/deposit_feeding_benthos
0.2,Mortality_inflicted_per_seabed_contact_trawl_pass_on_carnivore/scavenge_feeding_benthos
0.072447013,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Pelagic_fish
0.073396873,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Demersal_fish
0.378261676,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Migratory_fish
13.07821957,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Filter/deposit_feeding_benthos
0.739316731,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Carnivore/scavenge_feeding_benthos
15.84216775,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Carnivorous_zooplankton
2.53,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Birds
2.69772,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Seals
4.5045,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Cetaceans
1,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Kelp
0.1,Offal_as_proportion_of_live_weight_of_fish_and_shellfish
