"Value","Description"
1.67810955145737e-05,"water_column_detritus_mineralisation_rate"
1.18594105567533e-07,"upper_layer_water_column_nitrification_rate"
2.37989810651988e-09,"upper_layer_water_column_denitrification_rate"
0.0305574812905662,"lower_layer_water_column_nitrification_rate"
4.87772136105226e-07,"lower_layer_water_column_denitrification_rate"
0.496154283186721,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.4"
0.000162556880290267,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0261175416087683,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0149191267966849,"sediment_detritus_mineralisation_rate"
-1.59735941635355e-08,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
6.28660115698561e-05,"sediment_detritus_nitrification_rate"
-2.64837355715381e-06,"grain_size_sensitivity_for_sediment_detritus_nitrification_rate"
0.527838090044837,"sediment_detritus_denitrification_rate"
1.53877746087376e-07,"grain_size_sensitivity_for_sediment_detritus_denitrification_rate"
0.0183667575647121,"conversion_rate_of_discards_to_corpses"
0.222978247663157,"conversion_rate_of_corpses_to_sediment_detritus"
0.0267504645783791,"conversion_rate_of_kelp_debris_to_detritus"
0.0983075773180904,"detritus_sinking_rate_in_the_upper_layers"
3.58754889175969e-06,"detritus_sinking_rate_in_the_lower_layer"
4.41372227635988e-05,"density_dependent_self_shading_parameter_for_kelp"
0.00148454622141926,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.07286805978028,"fitting_parameter_for_undersize_demersal_fish_function"
