"kelp","phyt","omnivzoo","carnzoo","fishplar","fishdlar","fishp","fishm","fishd","benthslar","benthclar","benths","benthc","bird","seal","ceta"
"ammonia",0.270720029230896,0.270679241842833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrate",0.729279970769104,0.729320758157167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspdet",NA,NA,0.000669587456246437,NA,NA,NA,NA,NA,NA,0.976442309505849,0.311165814177248,0.294399703495885,NA,NA,NA,NA
"seddet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478322470427156,NA,NA,NA,NA
"kelpdebris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00670544865498182,NA,NA,NA
"corpses",NA,NA,NA,NA,NA,NA,NA,NA,0.00956583513772878,NA,NA,NA,0.418683778875031,0.099999609,0.057378213,NA
"discards",NA,NA,NA,NA,NA,NA,NA,NA,0.0966993130565381,NA,NA,NA,NA,0.220001312,0.064547224,0.118802919
"kelp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0127573653732765,NA,NA,NA
"phyt",NA,NA,0.905549038011028,NA,NA,NA,NA,NA,NA,0.0235576904941512,0.688834185822752,0.227277826076959,NA,NA,NA,NA
"omnivzoo",NA,NA,NA,0.653164798581763,0.146992680159089,0.94711243142157,0.361872305348613,0.365602888111757,NA,NA,NA,NA,NA,NA,NA,0.010105627
"carnzoo",NA,NA,NA,NA,NA,NA,0.152213181295162,0.0140508606538283,0.0753485661240821,NA,NA,NA,NA,0.099999902,0,0.019677456
"fishplar",NA,NA,NA,0.01739606494103,NA,NA,0.127652146729164,0.0501720609167357,0.115797136678339,NA,NA,NA,NA,NA,NA,NA
"fishdlar",NA,NA,NA,0.0410027394970227,NA,NA,0.178376763455802,0.05789537141178,0.11038467020174,NA,NA,NA,NA,NA,NA,NA
"fishp",NA,NA,NA,NA,NA,NA,NA,NA,0.105869816457913,NA,NA,NA,NA,0.200001485,0.184376867,0.291975611
"fishm",NA,NA,NA,NA,NA,NA,NA,NA,0.0175453114733879,NA,NA,NA,NA,0.180000748,0.052343488,0.39246408
"fishd",NA,NA,NA,NA,NA,NA,NA,NA,0.00553330372563124,NA,NA,NA,NA,0.199996945,0.641354208,0.161990788
"benthslar",NA,NA,0.00157719912499057,0.192085303821743,0.589030294283744,0.0432134528045291,0.0880959983110684,0.285838943331483,NA,NA,NA,NA,NA,NA,NA,NA
"benthclar",NA,NA,0.0922041754077348,0.0963510931584409,0.263977025557167,0.00967411577390079,0.0917896048601913,0.226439875574415,NA,NA,NA,NA,NA,NA,NA,NA
"benths",NA,NA,NA,NA,NA,NA,NA,NA,0.390780553960391,NA,NA,NA,0.56185340709671,0,0,0
"benthc",NA,NA,NA,NA,NA,NA,NA,NA,0.0724754931842486,NA,NA,NA,NA,0,0,0
"bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00498352
"ceta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
