Month,median,17centile,83centile
Jan,0.604528354,0.443866929,1.391325919
Feb,0.580492515,0.136529245,0.918474975
Mar,0.727791582,0.353515951,1.776208661
Apr,0.71142245,0.311039687,0.969446967
May,1.125225869,0.798555124,2.335712703
Jun,1.557104402,0.914204226,4.140853003
Jul,1.469787577,1.088271143,4.186229433
Aug,1.199045296,0.661669501,4.12684013
Sep,1.466698683,0.808243966,3.746537063
Oct,0.991522452,0.552511517,2.166096044
Nov,1.485832812,0.977009365,2.883772776
Dec,0.742793805,0.216585964,1.699967388
