Month,median,17centile,83centile
Jan,7.795607269,6.588233646,9.976209243
Feb,7.682604165,6.574174532,9.383703401
Mar,8.178052193,6.208199579,11.3084858
Apr,5.252096705,3.058158026,7.4735055
May,4.044359091,2.3416269,6.422818544
Jun,2.305243293,1.419188413,4.438546748
Jul,2.811842053,1.109523281,6.141441183
Aug,2.185114329,0.844764234,3.388855083
Sep,2.925767277,1.639991124,4.164455304
Oct,3.491993646,1.872115433,6.864270559
Nov,5.592664759,4.034053074,7.393843522
Dec,6.908810695,5.028847414,8.842316855
