Month,median,5centile,95centile
Jan,0.065546417,0.010387562,0.155039758
Feb,0.065339033,0.025868669,0.164413129
Mar,0.114143604,0.030120573,0.239641627
Apr,0.356114207,0.116396368,0.840257025
May,0.975563912,0.375597803,1.923207678
Jun,1.253178991,0.625422521,2.171888615
Jul,1.363584274,0.608368764,2.364134391
Aug,1.10498655,0.57444152,2.192469337
Sep,0.792794817,0.469451253,1.431682199
Oct,0.501528198,0.241813038,1.025082064
Nov,0.191643274,0.056152381,0.404660254
Dec,0.106165322,0.026732617,0.260282157
