Gear_name,Gear_code,Discardrate_PF,Discardrate_DF,Discardrate_MF,Discardrate_FDB,Discardrate_CSB,Discardrate_CZ,Discardrate_BD,Discardrate_SL,Discardrate_CT,Discardrate_KP
Pelagic_Trawl+Seine,PTS,0.002940862,0.111955218,0.052261365,0,0,0,1,1,1,0
Sandeel+sprat_trawl(Otter30-70mm+TR3),SST,0.000117639,0.53772272,0.008721464,0.000409807,0.172539844,0,1,1,1,0
Longline_mackerel,LLm,0,0.004905382,0,0,2.21E-05,0,1,1,1,0
Beam_Trawl_BT1+BT2,BTf,0,0.544527877,0.670642427,0.013789586,0.149863968,0,1,1,1,0
Demersal_Seine,DS,0,0,0,0,0,0,1,1,1,0
Demersal_Otter_Trawl_TR1,OT,0.125586035,0.47386451,0.769790851,0.021689801,0.312558954,0,1,1,1,0
Gill_Nets+Longline_demersal,LLd,1.30E-05,0.027499596,0.231375133,0.000488107,0.49755816,0,1,1,1,0
Beam_Trawl_shrimp,BTs,0.422012971,0.970253908,0.365643786,0,0.576040185,0,1,1,1,0
Nephrops_Trawl_TR2,NT,0.379740296,0.684241519,0.439291664,0,0.06020828,0,1,1,1,0
Creels,CR,0.056057846,0.008395374,0.000584674,0,1.77E-06,0,1,1,1,0
Mollusc_Dredge,MD,0,0.47689113,0,0.005634317,0,0,1,1,1,0
Whaler,Wh,0,0,0,0,0,0,0,0,0,0
