Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
1522,150.94,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production,North_Sea,1970_1999,Skogen_and_Moll_2005
642.25,66.53,1,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate,North_Sea,1970_1999,Heath_and_Beare_2008
600,100,1,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_kelp,General_UK,NA,Burrows_et_al_2018
339.6,25.157,1,Obs_OmnizooP,mMN/m2/y,Annual_omniv_zooplankton_gross_production,North_Sea,1970_1999,Heath_2005/Mackinson_and_Daskalov_2007
44.35,2.5157,1,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production,North_Sea,1970_1999,Heath_2005/Mackinson_and_Daskalov_2007
29.97,3.509,1,Obs_PFishP,mMN/m2/y,Annual_planktiv_fish_gross_production,North_Sea,1970_1999,Heath_2005
11.5,2.277,1,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production,North_Sea,1970_1999,Heath_2005
1248,449,1,Obs_BensuspP,mMN/m2/y,Annual_filt/dep_benthos_gross_production,North_Sea,1970_1999,Mackinson_and_Daskalov_2007/Heip_and_Craeymeersch_1995/Greenstreet_et_al_2007
21.1,7.6,1,Obs_BencarnP,mMN/m2/y,Annual_carn/scav_benthos_gross_production,North_Sea,1970_1999,Mackinson_and_Daskalov_2007/Heip_and_Craeymeersch_1995/Greenstreet_et_al_2007
0.000845283,0.0002,1,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.000724528,0.00035,1,Obs_sealP,mMN/m2/y,Annual_net_production_of_seals,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.001690566,0.0008,1,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
1.185,0.4421,1,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_filt/dep_larvae,North_Sea,1970_1999,Lindley_and_Kirby_2007/Analysis_of_Continuous_Plankton_Recorder_data
0.334,0.1013,1,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae,North_Sea,1970_1999,Lindley_and_Kirby_2007/Analysis_of_Continuous_Plankton_Recorder_data
23.48,9.057,1,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_planktiv_fish_by_fish,North_Sea,1970_1999,Heath_2005/Mackinson_and_Daskalov_2007
2.138,0.503,1,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish,North_Sea,1970_1999,Heath_2005/Mackinson_and_Daskalov_2007
92.28,13.019,1,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_fish_and_fish_larvae,North_Sea,1970_1999,Heath_2005/Mackinson_and_Daskalov_2007
60.377,25.157,1,Obs_Conzoocarnz,mMN/m2/y,Annual_consumption_of_omniv_zooplankton_by_carn_zooplankton,North_Sea,1970_1999,Heath_2005/Mackinson_and_Daskalov_2007
12.579,6.289,1,Obs_Conbenfish,mMN/m2/y,Annual_consumption_of_benthos_by_fish,North_Sea,1970_1999,Heath_2005/Mackinson_and_Daskalov_2007
0.6538,0.325,1,Obs_Contotal_bird,mMN/m2/y,Annual_food_consumption_by_birds,North_Sea,1970_1999,Bryant_and_Doyle_1992/Mackinson_and_Daskalov_2007
0.6,0.2,1,Obs_Proppfishbird,dimensionless,Proportion_planktiv_fish_in_diet_of_birds,North_Sea,1970_1999,Bryant_and_Doyle_1992/Mackinson_and_Daskalov_2007
0.1,0.05,1,Obs_Propdfishbird,dimensionless,Proportion_demersal_fish_in_diet_of_birds,North_Sea,1970_1999,Bryant_and_Doyle_1992/Mackinson_and_Daskalov_2007
0.05,0.015,1,Obs_Propmfishbird,dimensionless,Proportion_migratory_fish_in_diet_of_birds,North_Sea,1970_1999,Bryant_and_Doyle_1992/Mackinson_and_Daskalov_2007
0.05,0.02,1,Obs_Propdiscbird,dimensionless,Proportion_discards_in_diet_of_birds,North_Sea,1970_1999,Bryant_and_Doyle_1992/Mackinson_and_Daskalov_2007
0.216086541,0.105,1,Obs_Contotal_seal,mMN/m2/y,Annual_food_consumption_by_seals,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.291037261,0.072759315,1,Obs_Proppfishseal,dimensionless,Proportion_planktiv_fish_in_diet_of_seals,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.696878147,0.174219537,1,Obs_Propdfishseal,dimensionless,Proportion_demersal_fish_in_diet_of_seals,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.012084592,0.003021148,1,Obs_Propmfishseal,dimensionless,Proportion_migratory_fish_in_diet_of_seals,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.969066667,0.48,1,Obs_Contotal_ceta,mMN/m2/y,Annual_food_consumption_by_cetaceans,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.663144324,0.165786081,1,Obs_Proppfishceta,dimensionless,Proportion_planktiv_fish_in_diet_of_cetaceans,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
0.099504206,0.04,1,Obs_Propdfishceta,dimensionless,Proportion_demersal_fish_in_diet_of_cetaceans,North_Sea,1970_1999,Mackinson_and_Daskalov_2007
