Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
Jan,surface_nitrate,11.82487933,7.410212946,20.34478699,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Feb,surface_nitrate,9.913797494,7.490211453,11.6970927,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Mar,surface_nitrate,13.44143044,7.336235768,22.54961229,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Apr,surface_nitrate,7.48308292,3.633327457,13.30846044,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
May,surface_nitrate,3.486690491,1.532215531,8.791334116,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Jun,surface_nitrate,2.178312237,0.77435449,4.707214958,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Jul,surface_nitrate,1.803987695,0.788690605,5.255678745,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Aug,surface_nitrate,1.175353947,0.644635977,2.404234555,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Sep,surface_nitrate,2.176129395,1.035985188,4.972037266,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Oct,surface_nitrate,3.311694394,1.992485965,5.521953114,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Nov,surface_nitrate,6.599930318,4.895905178,9.793420367,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Dec,surface_nitrate,11.65250442,6.54101601,18.66234351,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_1970-1999
Jan,deep_nitrate,7.795607269,6.588233646,9.976209243,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Feb,deep_nitrate,7.682604165,6.574174532,9.383703401,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Mar,deep_nitrate,8.178052193,6.208199579,11.3084858,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Apr,deep_nitrate,5.252096705,3.058158026,7.4735055,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
May,deep_nitrate,4.044359091,2.3416269,6.422818544,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Jun,deep_nitrate,2.305243293,1.419188413,4.438546748,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
Jul,deep_nitrate,2.811842053,1.109523281,6.141441183,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_1970-1999
