Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,Upwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight
1,1.878602707,7.826037571,9.641973141,7.376138957,7.774861481,6.190193953,0.000273615,-1.869705736,1,0,0.011805251,0.024291462,0.010065532,0.005999641,0.12788825,0.381157296,0.616773612,0.567141064,0.074869246,0.09811036,0.320482266,2.201039811
2,6.868140563,7.674653611,9.560614859,6.411897279,7.010218923,4.99231487,0.000273559,-1.982309837,1,0,0.011312917,0.02438075,0.008372408,0.00556578,0.110224708,0.406161474,0.596934205,0.57288618,0.08770949,0.11809336,0.335319568,1.891916667
3,15.51034084,7.313070243,9.387245278,6.055982834,6.624667061,5.111340833,0.000253204,-2.200248244,1,0,0.01052767,0.022835511,0.007923165,0.005163682,0.103081317,0.332589203,0.506220739,0.518792688,0.073784542,0.092965211,0.280129751,1.730737856
4,25.48952236,6.773956617,8.962041862,6.653799484,6.792422037,7.023546998,0.000190087,-2.637461067,0.884163508,0,0.008667259,0.018542085,0.006781596,0.004318376,0.087907365,0.312553725,0.493204728,0.494957111,0.056849838,0.069825122,0.229317808,1.353826173
5,34.13175929,6.601770718,8.449411215,8.37309967,7.263810486,10.14256196,0.000150944,-2.958533594,0.607671289,0,0.00744728,0.015656012,0.006274327,0.004135323,0.08847333,0.322109175,0.499457734,0.510487615,0.054234911,0.071201446,0.245977725,1.259298328
6,39.12136064,7.016678338,8.281493879,10.60553341,7.818843161,13.40778006,0.00011907,-3.106201681,0.446021763,0,0.006739861,0.014684873,0.005865651,0.00396621,0.094460162,0.299277777,0.471658159,0.483537907,0.054966585,0.068413773,0.238213618,1.07951183
7,39.12136064,6.770848632,8.340679172,12.83103416,8.418900414,16.21192376,0.00011539,-3.128554816,0.411451011,0,0.006721233,0.014296042,0.006503849,0.003987013,0.106714621,0.363934365,0.552850385,0.524890871,0.076277874,0.090166525,0.263741324,1.051311103
8,34.13175929,6.480667009,8.471896958,14.28523078,9.053946223,17.66055685,0.000131006,-3.056846667,0.476442673,0,0.007422123,0.015113109,0.006994819,0.004166184,0.117526313,0.35905806,0.52368096,0.501511972,0.074889838,0.090429764,0.270002956,1.170480469
9,25.48952236,6.661854369,8.738404089,14.03373746,9.713480853,16.77594571,0.000134271,-2.648671582,0.639261454,0,0.00955584,0.0191768,0.007964097,0.004761266,0.132975587,0.380769649,0.558947495,0.524943214,0.079736059,0.098032567,0.26840102,1.438079397
10,15.51034084,6.94125906,8.98518924,12.32642146,10.07990047,14.3792816,0.000193469,-2.21738672,0.922987598,0,0.00940719,0.020874158,0.009073234,0.005062474,0.129478571,0.41698284,0.638251265,0.576894935,0.089645817,0.107513098,0.314080121,1.779291273
11,6.868140563,7.301689517,9.250313198,10.49054649,9.781850758,11.41138922,0.000225076,-1.958851625,1,0,0.010448348,0.0231102,0.009657893,0.0058924,0.135374221,0.348163859,0.554320401,0.531517306,0.075830373,0.094815806,0.285698055,2.0626319
12,1.878602707,7.604514007,9.64301831,8.780975068,8.805265919,8.307268368,0.000234569,-1.845047261,1,0,0.010770274,0.023193534,0.010074723,0.005884532,0.131901834,0.625729598,0.773238101,0.623426869,0.161048722,0.215276963,0.432322971,2.089575476
