Value,Description
0.16,parameter_a_in_Pdemersal_catch_NONQUOTA=a*exp(-b*(1stJan_demersal_biomass)))_set_to_0_and_all_demfish_treated_as_quota_limited
0.07,parameter_b_in_Pdemersal_catch_NONQUOTA=a* exp(-b*(1stJan_demersal_biomass)))
0.67,parameter_a_in_Pundersize_NONQUOTA = a*exp(-b*1stJan_demersal_biomass))
0.02,parameter_b_in_Pundersize_NONQUOTA = a*exp(-b*1stJan_demersal_biomass))
0.4,parameter_a_in_Pundersize_QUOTA = a*exp(-b*1stJan_demersal_biomass))
0.02,parameter_b_in_Pundersize_QUOTA = a*exp(-b*1stJan_demersal_biomass))
0,DF_HR_SWITCH_(0=use_externally_defined_DFharvestratio/1=improved_selectivity_ie_reduce_Dfharvestratio_to_match_no_undersize_catch)
1,DF_DISC_SWITCH_(0=use_internally_derived_density_dependent_DF_discard_rates/1=use_DF_discard_rates_from_parameter_file/2=only_discard_undersize_NQDF/3=no_DF_discards_ie_land_everything)
0.05,Seabed_penetration_depth_of_gears_(m)
0.2,Mortality_inflicted_per_seabed_contact_trawl_pass_on_suspension/deposit_feeding_benthos
0.2,Mortality_inflicted_per_seabed_contact_trawl_pass_on_carnivore/scavenge_feeding_benthos
0.066741946,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Planktivorous_fish
0.075954885,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Demersal_fish
0.367350463,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Migratory_fish
12.3485414,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Suspension/deposit_feeding_benthos
0.643835939,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Carnivore/scavenge_feeding_benthos
15.88002233,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Carnivorous_zooplankton
2.53,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Birds
2.69772,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Seals
4.5045,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Cetaceans
1,Scaling_between_effort_per_day_and_harvest_ratio_per_day_Kelp
0.1,Offal_as_proportion_of_live_weight_of_fish_and_shellfish
